MONTH,HA,CO,AMA,AMO,PO,IS,NM,CAP,OST,GAS,BIV,DEC,CU
JUNE,6,0,0,2,0,0,0,0,0,0,0,0,0
JUNE,12,0,0,0,0,0,3,0,0,0,0,0,0
JUNE,1,0,2,1,0,1,0,0,0,0,0,0,0
JUNE,1,0,2,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,2,0,0,0,1,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,1
JUNE,0,0,0,5,1,0,0,0,0,0,0,0,0
JUNE,1,0,0,1,0,0,2,1,0,0,0,0,0
JUNE,0,0,3,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,2,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,2,0,0,0,0,0,0,0,0,1,0
JUNE,1,0,0,0,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,1,0,1,2,0,0,0,0,0,0,0,1,0
JUNE,12,0,0,5,1,0,5,0,0,0,0,0,1
JUNE,1,0,0,0,1,0,0,0,0,0,0,0,0
JUNE,4,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,16,1,0,0,0,0,0,0,0,0
JUNE,0,1,0,5,1,0,0,0,0,0,0,1,0
JUNE,0,0,1,3,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,2,0,0,0,1,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,1,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,3,0,0,0,0,0,0,0,0,0
JUNE,3,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,1,0
JUNE,0,0,0,4,0,0,0,0,0,0,0,0,0
JUNE,0,0,1,3,0,0,0,0,0,0,0,0,0
JUNE,0,0,1,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,2,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,3,0,0,2,0,0,0,1,0,0,0,1,0
JUNE,3,0,0,1,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,1,0
JUNE,0,0,0,1,1,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,1,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,4,0,0,0,0,0,0,0,0,0
JUNE,2,0,0,1,1,0,3,1,0,0,0,0,0
JUNE,0,0,0,4,0,0,0,0,0,0,1,0,0
JUNE,1,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,1,0,0,0,0,0,0,0,0
JUNE,2,0,0,2,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,1,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,1,0,0,0,0,0,0,0,0,0
JUNE,1,0,0,1,0,0,0,2,0,0,0,0,0
