Month,Fish ID,Prey ID,Prey Length
JUN,41,AMB,0.73
JUN,41,AMB,1.08
JUN,41,AMB,0.75
JUN,41,AMB,0.95
JUN,41,AMB,0.92
JUN,41,AMB,0.45
JUN,41,AMB,0.47
JUN,41,AMB,0.70
JUN,41,AMB,0.40
JUN,41,AMB,0.75
JUN,41,AMB,1.20
JUN,41,AMB,0.37
JUN,41,AMB,0.84
JUN,41,AMB,0.80
JUN,41,AMB,1.20
JUN,41,AMB,1.05
JUN,42,AMB,1.70
JUN,42,AMB,3.20
JUN,42,AMB,2.70
JUN,43,AMA,1.88
JUN,43,AMB,2.45
JUN,43,AMB,3.80
JUN,43,AMB,2.82
JUN,44,AMB,3.40
JUN,44,AMB,3.20
JUN,45,NIL,
JUN,46,AMB,3.30
JUN,47,AMA,5.40
JUN,47,AMB,2.90
JUN,48,AMB,1.40
JUN,48,AMB,2.40
JUN,48,AMD,1.75
JUN,49,NIL,
JUN,410,AMB,1.80
JUN,411,AMB,1.80
JUN,411,AMB,3.20
JUN,411,AMB,3.50
JUN,411,AMB,2.10
JUN,412,AMA,2.43
JUN,412,AMB,2.80
JUN,412,AMB,2.20
JUN,412,AMB,2.12
JUN,413,AMA,3.40
JUN,413,AMB,2.50
JUN,414,AMB,1.60
JUN,414,AMB,2.10
JUN,415,AMB,2.30
JUN,51,NIL,
JUN,52,AMB,3.40
JUN,53,NIL,
JUN,54,AMF,2.20
JUN,55,NIL,
JUN,56,NIL,
JUN,57,AMB,1.78
JUN,57,AMB,1.40
JUN,57,AMB,3.40
JUN,57,AMB,2.90
JUN,58,AMB,0.90
JUN,59,AMB,2.30
JUN,59,AMB,1.50
JUN,59,AMB,1.40
JUN,59,AMB,1.20
JUN,59,AM?,0.90
JUN,510,NIL,
JUN,511,NIL,
JUN,512,AMB,3.40
JUN,513,AMB,3.50
JUN,514,NIL,
JUN,61,AM?,0.68
JUN,62,AMB,2.90
JUN,63,AM?,0.75
JUN,64,AMB,1.10
JUN,64,AMD,1.30
JUN,65,NIL,
JUN,66,AMB,2.40
JUN,67,AMD,0.90
JUN,67,AMD,1.00
JUN,68,AMB,3.10
JUN,69,AMA,1.10
JUN,69,AMA,1.60
JUN,69,AMA,1.08
JUN,69,AMA,1.20
JUN,69,AMB,1.50
JUN,69,AMD,0.50
JUN,69,AMD,0.60
JUN,610,AMB,2.15
