ID,DMY,TC,TS,TL,DW,S,MW,HA,CO,AMA,AMB,PO,IS,NM,NU,EU,ASD,WHA,WCO,WAMA,WAMB,WIS,WNM
66,02/03/83,05:16,LT,18.0,9.29,U,1.4,4,0,0,0,0,0,0,0,0,4,,,,,,
67,02/03/83,05:16,LT,18.0,10.07,U,1.5,1,0,0,1,0,0,0,0,1,4,,,,,,
68,02/03/83,05:16,LT,18.5,9.79,U,1.6,0,0,2,0,0,0,0,0,0,4,,,,,,
69,02/03/83,05:16,LT,17.0,7.61,U,1.2,0,0,4,0,0,0,0,0,0,N/A,,,,,,
70,02/03/83,05:16,LT,11.0,1.99,U,0.9,8,0,0,0,0,0,1,0,0,4,,,,,,
71,02/03/83,06:05,FT,17.5,N/A,U,2.1,1,1,0,0,0,0,0,0,0,4,,,,,,
72,02/03/83,06:05,FT,27.0,52.90,F,2.6,0,0,2,0,0,0,0,0,0,3,,,,,,
73,02/03/83,06:05,FT,29.0,63.68,F,2.7,0,0,1,0,0,0,0,0,0,3,,,,,,
74,02/03/83,06:05,FT,25.0,33.16,F,2.4,3,0,0,0,0,0,0,0,0,3,,,,,,
75,02/03/83,06:05,FT,23.0,21.55,U,1.9,0,0,0,0,0,0,0,0,0,N/A,,,,,,
76,02/03/83,06:05,FT,18.0,9.06,U,1.4,0,0,1,0,0,0,0,0,0,4,,,,,,
77,02/03/83,06:05,FT,19.0,12.48,U,1.7,2,1,7,0,0,1,1,0,0,3,,,,,,
78,02/03/83,06:05,FT,29.0,55.06,M,2.5,0,0,5,0,0,0,0,0,0,3,,,,,,
79,02/03/83,06:05,FT,17.0,7.97,U,1.5,5,1,1,0,0,0,0,0,0,4,,,,,,
80,02/03/83,06:05,FT,19.0,12.44,U,1.5,0,0,0,0,0,0,0,0,0,N/A,,,,,,
81,28/02/83,17:35,FT,21.5,21.33,U,1.9,13,0,0,0,0,1,0,0,0,2,,,,,,
82,28/02/83,17:35,FT,19.0,11.81,U,1.6,41,13,6,1,0,3,0,0,0,4,,,,,,
83,28/02/83,17:35,FT,22.0,20.75,U,2.0,7,1,3,3,1,0,0,0,0,2,,,,,,
84,28/02/83,17:35,FT,22.0,18.99,U,1.7,2,0,0,3,0,0,0,0,0,3,,,,,,
85,28/02/83,17:35,FT,18.0,9.21,U,1.4,0,1,1,0,0,0,0,0,0,2,,,,,,
86,28/02/83,17:35,FT,19.0,12.27,U,1.8,38,4,3,0,0,1,2,0,0,2,,,,,,
87,28/02/83,17:35,FT,16.0,6.96,U,1.4,63,2,0,0,4,0,3,0,0,2,,,,,,
88,28/02/83,17:35,FT,16.5,7.54,U,1.1,40,1,3,0,0,1,0,0,0,2,,,,,,
89,28/02/83,17:35,FT,14.0,4.27,U,0.8,46,2,3,0,2,0,4,0,0,3,,,,,,
90,28/02/83,17:35,FT,14.0,4.08,U,1.1,44,6,2,0,0,1,0,0,0,3,,,,,,
91,28/02/83,16:20,LT,26.0,37.85,M,2.6,0,0,1,0,0,0,0,0,0,2,,,,,,
92,28/02/83,16:20,LT,20.0,15.14,U,1.8,25,2,0,0,0,0,0,0,0,4,,,,,,
